product_id,product_name,category,quantity_sold,unit_price
P001,Wireless Mouse,Electronics,12,25.50
P002,Notebook,Stationery,35,3.75
P003,USB Hub,Electronics,8,18.00
P004,Ballpoint Pen,Stationery,100,0.50
P005,HDMI Cable,Electronics,20,12.00
P006,Mechanical Keyboard,Electronics,15,65.00
P007,Desk Organizer,Stationery,25,8.50
P008,Webcam,Electronics,30,45.00
P009,Sticky Notes,Stationery,60,2.25
P010,USB Flash Drive,Electronics,50,15.00
P011,Office Chair,Furniture,10,120.00
P012,Desk Lamp,Furniture,18,35.00
P013,External Hard Drive,Electronics,7,85.00
P014,Marker Set,Stationery,45,6.00
P015,Monitor,Electronics,22,180.00
P016,Printer Paper,Stationery,80,5.50
P017,Bookshelf,Furniture,6,150.00
P018,Headphones,Electronics,40,32.50
P019,File Folder,Stationery,90,1.75
P020,Office Desk,Furniture,12,200.00
